Children,,,,,
Age in years,Upper thigh circumference,Ankle Circumference,Calf Circumference Height,Knee Height Tibiale Height,Measure between upper thigh and knee
02-Apr,29.5897,4.8643,20.7866,26.3918,12.653
,+/- 4.4021,+/- 1.806,+/- 2.0460,+/- 7.7617,+/- 2.899
05-Aug,33.0463,5.6369,22.406,32.797,18.973
,+/- 5.2724,+/- 1.765,+/- 2.667,+/- 1.902,+/- 1.293
9 - 14yrs,44.225,6.454,29.258,44.607,25.987
,+/- 4.015,+/- 1.873,+/- 2.765,+/- 1.234,+/- 1.873
Female,,,,,
Age in years,Upper thigh circumference,Ankle Circumference,Calf Circumference Height,Knee Height Tibiale Height,Measure between upper thigh and knee
15-19,59.7196,21.898,37.2522,31.995,21.4154
,+/- 4.4896,+/- 1.5728,+/- 2.5570,+/- 2.3156,+/- 1.7275
20-25,60.6265,21.655,37.1121,37.1599,26.4575
,+/- 5.2486,+/- 1.4631,+/- 2.7145,+/- 2.7103,+/- 1.8247
26-35,62.1774,21.5191,37.3557,37.0739,26.5672
,+/- 5.8089,+/- 1.5308,+/- 2.9701,+/- 2.7456,+/- 1.8639
36-46,62.9443,21.4422,37.6606,37.2774,26.8025
,+/- 5.5968,+/- 1.4128,+/- 2.9494,+/- 2.7740,+/- 1.9530
47-58,63.358,21.25,37.8129,51.1483,26.5354
,+/- 5.9167,+/- 1.4332,+/- 2.9746,+/- 2.7467,+/- 1.9273
Male,,,,,
Age in years,Upper thigh circumference,Ankle Circumference,Calf Circumference Height,Knee Height Tibiale Height,Measure between upper thigh and knee
15-19,58.9705,22.7512,37.7338,32.9149,23.3598
,+/- 5.4371,+/- 1.4429,+/- 2.6941,+/- 2.7824,+/- 1.7132
20-25,61.7972,23.0193,38.841,34.3507,27.7382
,+/- 6.2268,+/- 1.4963,+/- 2.9522,+/- 2.7284,+/- 1.7362
26-35,63.2356,22.9423,39.4419,34.3895,27.6692
,+/- 5.8741,+/- 1.5213,+/- 3.0354,+/- 2.8988,+/- 1.8162
36-46,63.323,22.8864,39.7756,34.6427,27.6984
,+/- 5.0525,+/- 1.3561,+/- 2.8283,+/- 2.7275,+/- 1.7933
47-58,62.4459,22.7362,39.4544,34.5569,27.8077
,+/- 4.7077,+/- 1.3012,+/- 2.7230,+/- 2.7258,+/- 1.8469
